dstport,protocol,tag
60,SKIP,sv_7
383,LEAF-1,sv_57
446,ARIS,sv_13
311,IPv6-ICMP,sv_73
932,3PC,sv_82
447,AH,sv_85
460,DCN-MEAS,sv_95
434,IPIP,sv_11
438,L2TP,sv_67
587,ARGUS (deprecated),sv_80
410,Mobility Header,sv_69
916,LEAF-2,sv_5
977,SAT-MON,sv_69
305,Sprite-RPC,sv_3
1020,SPS,sv_36
618,EIGRP,sv_30
731,QNX,sv_33
233,Reserved,sv_90
1,ISIS over IPv4,sv_6
782,Ethernet,sv_59
399,IPX-in-IP,sv_3
923,ISIS over IPv4,sv_90
832,IDPR,sv_45
25,RDP,sv_76
764,DCCP,sv_41
428,SRP,sv_89
271,TCF,sv_47
253,ARIS,sv_99
39,,sv_38
258,SAT-EXPAK,sv_57
317,MICP (deprecated),sv_59
608,SWIPE (deprecated),sv_13
542,CBT,sv_18
729,VINES,sv_85
797,IPv6-Opts,sv_55
829,MERIT-INP,sv_64
353,SCPS,sv_91
65,PIPE,sv_19
518,MFE-NSP,sv_37
257,TLSP,sv_35
860,MTP,sv_73
458,SNP,sv_4
315,SDRP,sv_51
349,ENCAP,sv_27
969,SCTP,sv_81
259,SDRP,sv_33
84,Reserved,sv_43
574,CPNX,sv_67
409,,sv_58
161,IGP,sv_61
137,TCP,sv_10
634,IPLT,sv_17
1005,PRM,sv_98
141,ARIS,sv_21
0,AX.25,sv_61
509,,sv_72
777,A/N,sv_17
182,SAT-MON,sv_16
328,IGMP,sv_66
601,SKIP,sv_7
587,DDX,sv_90
953,SUN-ND,sv_53
590,DDX,sv_91
960,MICP (deprecated),sv_4
547,VINES,sv_46
489,,sv_26
186,,sv_32
589,PVP,sv_63
877,AGGFRAG,sv_33
962,ICMP,sv_97
456,IPLT,sv_49
126,FC,sv_72
782,ISO-IP,sv_22
833,FC,sv_99
154,SSCOPMCE,sv_29
275,RDP,sv_30
525,Min-IPv4,sv_76
32,NSH,sv_54
304,IPv6-Route,sv_65
817,IPComp,sv_89
111,ESP,sv_43
840,VMTP,sv_84
190,IPIP,sv_64
354,SUN-ND,sv_26
518,IPTM,sv_7
103,SCC-SP,sv_85
998,IPPC,sv_36
383,HIP,sv_1
377,ISIS over IPv4,sv_14
818,IGP,sv_80
1001,3PC,sv_39
563,TLSP,sv_83
590,ESP,sv_10
200,TRUNK-2,sv_40
576,IFMP,sv_82
387,LEAF-2,sv_43
112,IGP,sv_77
384,NSFNET-IGP,sv_37
816,SAT-MON,sv_53
353,PRM,sv_6
718,STP,sv_19
786,IPv6-ICMP,sv_91
77,ISO-IP,sv_96
264,LEAF-2,sv_40
87,CFTP,sv_52
524,ISIS over IPv4,sv_64
679,IPComp,sv_17
77,UDPLite,sv_76
93,VINES,sv_38
32,EGP,sv_57
80,L2TP,sv_97
823,IPLT,sv_77
632,HIP,sv_16
791,IPv6-Opts,sv_68
151,TRUNK-2,sv_41
90,I-NLSP,sv_37
